Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-14 - MTL 1, BUF 5",BUF,2021-10-14,MTL,1,BUF,5,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - ARI 1, BUF 2",BUF,2021-10-16,ARI,1,BUF,2,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - VAN 2, BUF 5",BUF,2021-10-19,VAN,2,BUF,5,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-22 - BOS 4, BUF 1",BUF,2021-10-22,BOS,4,BUF,1,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - BUF 1, NJ 2",BUF,2021-10-23,BUF,1,NJ,2,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-25 - TB 1, BUF 5",BUF,2021-10-25,TB,1,BUF,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-28 - BUF 4, ANA 3",BUF,2021-10-28,BUF,4,ANA,3,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-31 - BUF 2, LA 3",BUF,2021-10-31,BUF,2,LA,3,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-02 - BUF 3, SJ 5",BUF,2021-11-02,BUF,3,SJ,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-04 - BUF 2, SEA 5",BUF,2021-11-04,BUF,2,SEA,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-06 - DET 4, BUF 3",BUF,2021-11-06,DET,4,BUF,3,Lost,1.0,40.93,40.593,32.414,31.647000000000002,1.78,1.577,9.363,8.236,0.8939999999999999,0.784,6.944,6.1850000000000005,20.089,19.697,0.21200000000000002,0.28700000000000003,12.508,11.401,10.14,11.758,0.599,0.49000000000000005,4.548,5.705,0.9942,24.708000000000002,19.494,20.012999999999998,23.702,1.818,1.7239999999999998
"2021-11-08 - BUF 3, WSH 5",BUF,2021-11-08,BUF,3,WSH,5,Won,1.0,42.013999999999996,40.983,33.127,31.649,1.9869999999999997,1.571,10.404,8.273,1.101,0.8789999999999999,7.975,6.2330000000000005,19.077,19.714999999999996,0.21200000000000002,0.28700000000000003,11.634,11.719000000000001,10.947,11.829,0.599,0.396,4.965000000000001,5.761,0.9853999999999999,25.169999999999998,21.318,20.144,24.113,2.024,1.7510000000000001
"2021-11-12 - EDM 2, BUF 3",BUF,2021-11-12,EDM,2,BUF,3,Won,3.0,42.915,41.32299999999999,34.177,31.602999999999998,2.272,1.8739999999999999,10.440999999999999,7.752,1.188,0.983,7.838000000000001,5.8790000000000004,19.042,19.612000000000002,0.21200000000000002,0.381,11.802000000000001,11.437000000000001,11.669,12.281,0.787,0.49800000000000005,5.663,5.768,0.9898,26.014,22.07,20.119,23.594,2.0900000000000003,1.766
"2021-11-13 - TOR 5, BUF 4",BUF,2021-11-13,TOR,5,BUF,4,Lost,0.0,44.448,40.160000000000004,34.713,30.542,2.061,1.777,10.126000000000001,7.215999999999999,1.082,0.9780000000000001,7.5329999999999995,5.418,19.740000000000002,18.854000000000003,0.21200000000000002,0.292,11.800999999999998,10.977,12.369,12.133,0.6819999999999999,0.49800000000000005,5.864,5.5889999999999995,0.9986,26.129,22.481,19.419999999999998,22.68,2.132,1.682
"2021-11-16 - BUF 2, PIT 1",BUF,2021-11-16,BUF,2,PIT,1,Lost,2.0,44.842999999999996,39.766999999999996,34.942,30.853,2.273,2.0599999999999996,9.621,6.478,1.0799999999999998,1.0710000000000002,7.383,5.188000000000001,20.383,19.458000000000002,0.32300000000000006,0.381,11.59,10.947,12.761,11.762,0.787,0.601,6.266,5.506,1.0021,26.074,22.375,18.299,22.301000000000002,2.075,1.641
"2021-11-18 - CGY 5, BUF 0",BUF,2021-11-18,CGY,5,BUF,0,Lost,1.0,43.987,38.38,34.211,29.595999999999997,2.273,2.2729999999999997,8.908,6.366,1.08,1.179,6.9319999999999995,5.188,20.375,19.514,0.32300000000000006,0.48600000000000004,11.956,10.582,12.547,10.540000000000001,0.787,0.601,6.449,4.866999999999999,1.0148,26.165000000000003,21.446,16.979,21.401,1.959,1.5690000000000002
"2021-11-21 - BUF 4, NYR 5",BUF,2021-11-21,BUF,4,NYR,5,Won,2.0,44.855999999999995,38.081,34.587,29.244,2.598,1.9849999999999999,8.373000000000001,6.093,1.302,0.991,6.798,5.191,21.142000000000003,20.076,0.32300000000000006,0.48600000000000004,11.982000000000001,10.857,13.047,10.032,0.884,0.507,6.9030000000000005,4.642,0.9902000000000001,26.693,21.381999999999998,16.224,21.565,1.9189999999999998,1.5539999999999998
"2021-11-22 - CBJ 7, BUF 4",BUF,2021-11-22,CBJ,7,BUF,4,Lost,0.0,45.07000000000001,36.741,34.204,28.274,2.6919999999999997,2.086,8.510000000000002,5.862,1.3969999999999998,0.9899999999999999,6.659999999999999,4.853,21.066,20.082,0.41200000000000003,0.48600000000000004,11.79,10.691,13.269,8.92,0.788,0.6130000000000001,6.9079999999999995,4.5280000000000005,0.9936,26.375,21.738999999999997,14.89,21.065,1.9449999999999998,1.443
"2021-11-24 - BOS 5, BUF 1",BUF,2021-11-24,BOS,5,BUF,1,Lost,1.0,46.206,37.69199999999999,34.95,28.901,3.028,2.164,8.895,5.590999999999999,1.525,1.067,6.984999999999999,4.63,20.995,20.993000000000002,0.524,0.48600000000000004,11.915,11.139,13.443000000000001,9.041,0.893,0.6130000000000001,6.848000000000001,4.508,0.9847999999999999,26.749000000000002,22.272,14.766,21.202999999999996,1.9139999999999997,1.427
"2021-11-26 - MTL 1, BUF 4",BUF,2021-11-26,MTL,1,BUF,4,Won,1.0,47.910000000000004,37.879000000000005,37.051,29.107,2.954,2.056,9.239,5.946,1.433,1.067,7.258,4.664,22.411,20.541,0.5229999999999999,0.393,13.229,10.434999999999999,13.293000000000001,9.071,0.99,0.608,7.156000000000001,4.771,0.9903000000000001,28.544999999999998,22.475,15.146,20.832,2.008,1.432
"2021-11-27 - BUF 2, DET 3",BUF,2021-11-27,BUF,2,DET,3,Won,0.0,48.309999999999995,41.277,37.048,31.919,2.7689999999999997,2.242,9.335,6.919,1.433,1.161,7.248,5.366,22.297000000000004,21.361,0.417,0.393,12.918000000000001,10.888,13.492,10.147,0.905,0.694,7.067,5.079,0.9991999999999999,28.365,22.796,17.169,22.598,1.9920000000000002,1.564
"2021-11-29 - SEA 7, BUF 4",BUF,2021-11-29,SEA,7,BUF,4,Lost,1.0,48.734,41.015,37.998000000000005,31.435999999999996,2.648,2.157,9.443999999999999,6.5969999999999995,1.412,1.076,7.284999999999999,4.914,23.313,21.328,0.417,0.393,13.513,11.33,12.812000000000001,10.055,0.8030000000000002,0.694,6.94,4.919,1.0026,29.122000000000003,22.235,16.752,22.578,2.0060000000000002,1.502
"2021-12-02 - BUF 4, FLA 7",BUF,2021-12-02,BUF,4,FLA,7,Won,2.0,49.836,39.866,38.499,30.994,2.677,2.129,9.788,7.1290000000000004,1.6469999999999998,1.1540000000000001,7.693,5.198,24.563,20.919,0.417,0.29900000000000004,14.255,11.431000000000001,12.351,9.065999999999999,0.615,0.6880000000000001,6.573,4.697,1.0038,29.869999999999997,22.117,16.27,22.662,2.0989999999999998,1.5399999999999998
