Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-14 - ANA 1, VGK 4",ANA,2023-10-14,ANA,1,VGK,4,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-15 - CAR 3, ANA 6",ANA,2023-10-15,CAR,3,ANA,6,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - DAL 3, ANA 2",ANA,2023-10-19,DAL,3,ANA,2,Lost,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - ANA 1, ARI 2",ANA,2023-10-21,ANA,1,ARI,2,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-22 - BOS 3, ANA 1",ANA,2023-10-22,BOS,3,ANA,1,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - ANA 3, CBJ 2",ANA,2023-10-24,ANA,3,CBJ,2,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-26 - ANA 4, BOS 3",ANA,2023-10-26,ANA,4,BOS,3,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-28 - ANA 7, PHI 4",ANA,2023-10-28,ANA,7,PHI,4,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-30 - ANA 4, PIT 3",ANA,2023-10-30,ANA,4,PIT,3,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-01 - ARI 3, ANA 4",ANA,2023-11-01,ARI,3,ANA,4,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-05 - VGK 2, ANA 4",ANA,2023-11-05,VGK,2,ANA,4,Won,3.0,45.815,38.974000000000004,32.843,29.051,1.3820000000000001,1.702,7.956999999999999,7.263,1.006,0.825,5.171,4.968999999999999,26.97,21.907,0.095,0.21100000000000002,9.36,8.631,13.499,10.073,0.292,0.6900000000000001,5.307,4.765,1.0149,20.895,21.476,17.339000000000002,20.374000000000002,1.956,1.6920000000000002
"2023-11-07 - PIT 2, ANA 0",ANA,2023-11-07,PIT,2,ANA,0,Lost,1.0,45.855000000000004,38.967,33.238,28.806,1.389,1.7890000000000001,8.338,7.545999999999999,1.013,0.909,5.379,5.314,27.038999999999998,21.438,0.095,0.21100000000000002,8.809000000000001,8.238999999999999,12.944999999999999,9.674,0.292,0.6900000000000001,5.752,4.629,1.0209000000000001,20.915,21.313,17.245,20.187,2.0,1.7280000000000002
"2023-11-10 - PHI 6, ANA 3",ANA,2023-11-10,PHI,6,ANA,3,Lost,2.0,45.784000000000006,38.345,33.537,28.178999999999995,1.395,1.497,8.854000000000001,7.1819999999999995,1.013,0.909,6.2780000000000005,4.956,27.005000000000003,22.055,0.095,0.10500000000000001,9.291,8.953999999999999,12.677,9.293000000000001,0.297,0.49800000000000005,5.503,4.473,1.0087,22.085,21.497,16.535999999999998,20.359,2.125,1.636
"2023-11-12 - SJ 1, ANA 4",ANA,2023-11-12,SJ,1,ANA,4,Won,1.0,46.648,37.474000000000004,34.119,27.894,1.8170000000000002,1.4020000000000001,8.946000000000002,7.203999999999999,1.4419999999999997,1.0,6.773999999999999,4.902,26.815000000000005,21.723000000000003,0.095,0.10500000000000001,9.758,8.621,12.884,9.228,0.297,0.307,5.423,4.735,0.9934,23.194,21.779,16.528,20.012999999999998,2.1239999999999997,1.5779999999999998
"2023-11-14 - ANA 3, NSH 2",ANA,2023-11-14,ANA,3,NSH,2,Lost,1.0,46.265,39.406,34.702999999999996,29.080000000000002,1.918,1.595,9.445,7.994,1.543,1.0939999999999999,7.17,5.617,26.551,23.45,0.095,0.21200000000000002,10.201,8.989,12.447999999999999,9.559000000000001,0.297,0.30700000000000005,4.930999999999999,4.825,0.9948,23.563000000000002,21.859,17.644,21.139000000000003,2.1770000000000005,1.6810000000000003
"2023-11-15 - ANA 2, COL 8",ANA,2023-11-15,ANA,2,COL,8,Won,0.0,47.167,38.047,34.809999999999995,27.724,1.8050000000000002,1.809,9.293,7.703,1.43,1.106,6.933000000000002,5.563000000000001,28.465999999999998,22.404,0.095,0.30500000000000005,10.623,8.676,12.409,9.408,0.297,0.4130000000000001,5.022,4.542,1.0195,23.835,21.654,17.194,20.506999999999998,2.1559999999999997,1.562
"2023-11-17 - FLA 2, ANA 1",ANA,2023-11-17,FLA,2,ANA,1,Lost,1.0,46.973,37.52,35.063,27.590000000000003,2.4,1.809,10.099,8.370999999999999,1.8170000000000002,1.2109999999999999,7.733000000000001,5.928,27.878999999999998,21.538,0.0,0.30500000000000005,10.382,8.08,12.376999999999999,9.422,0.592,0.307,5.443,4.424,1.002,24.534,22.426,17.88,20.026,2.284,1.6560000000000001
"2023-11-19 - STL 3, ANA 1",ANA,2023-11-19,STL,3,ANA,1,Lost,1.0,49.296,38.25,35.931,28.162,2.5140000000000002,1.703,10.487,8.687000000000001,1.8239999999999998,1.2109999999999999,8.001999999999999,6.169,29.333999999999996,21.979000000000003,0.0,0.2,11.084999999999999,7.838999999999999,12.751999999999999,9.553,0.696,0.30700000000000005,5.287,4.4719999999999995,0.9945,25.319,23.179,18.34,20.233999999999998,2.3459999999999996,1.716
"2023-11-22 - MTL 4, ANA 3",ANA,2023-11-22,MTL,4,ANA,3,Lost,2.0,48.866,37.827,36.063,27.903000000000002,2.45,1.3679999999999999,10.434000000000001,8.434000000000001,1.8399999999999999,0.9760000000000002,7.986,5.914,28.520000000000003,22.793,0.0,0.2,11.256,8.742,12.776999999999997,9.083000000000002,0.609,0.202,5.492,4.458,0.9823000000000001,25.576,23.098999999999997,17.654,20.43,2.3249999999999997,1.669
"2023-11-24 - LA 5, ANA 2",ANA,2023-11-24,LA,5,ANA,2,Lost,1.0,47.483999999999995,38.6,34.759,28.621999999999996,2.6770000000000005,1.3530000000000002,9.754999999999999,8.293,1.8540000000000003,0.867,7.728,5.801,27.916000000000004,23.482999999999997,0.11100000000000002,0.2,11.684999999999999,8.822,12.217,9.722,0.7140000000000001,0.298,5.321,4.883,0.9700999999999999,25.522000000000002,21.835,18.192,20.594,2.1919999999999997,1.7530000000000001
"2023-11-26 - ANA 2, EDM 8",ANA,2023-11-26,ANA,2,EDM,8,Won,1.0,47.673,40.025,34.967999999999996,29.790000000000003,2.582,1.3530000000000002,10.405,8.756,1.7600000000000002,0.867,7.923,6.018,27.448,23.78,0.11100000000000002,0.288,11.628,8.65,11.611,10.01,0.7140000000000001,0.202,4.834,5.047,0.9724,25.499000000000002,21.846,18.966,21.011,2.2030000000000003,1.818
"2023-11-28 - ANA 1, VAN 3",ANA,2023-11-28,ANA,1,VAN,3,Won,1.0,45.727,40.372,33.148,30.031,3.0520000000000005,1.377,9.870000000000001,8.205,1.848,0.893,7.647,5.702999999999999,26.51,24.592,0.217,0.288,11.463,9.04,11.192,10.422,1.001,0.202,4.569,5.266,0.945,24.782999999999998,20.921999999999997,18.832,21.58,2.109,1.6990000000000003
"2023-11-30 - WSH 5, ANA 4",ANA,2023-11-30,WSH,5,ANA,4,Lost,1.0,45.084999999999994,40.55499999999999,32.647,30.588,3.135,1.377,10.023,8.491000000000001,2.036,0.893,7.435,5.558,25.684000000000005,23.654999999999998,0.217,0.288,10.544,8.64,11.389,10.731,0.8959999999999999,0.202,4.544,5.612,0.9392999999999999,23.657000000000004,21.285999999999998,19.418,21.381999999999998,2.072,1.75
