Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-14 - BUF 2, NYI 3",NYI,2023-10-14,BUF,2,NYI,3,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-17 - ARI 0, NYI 1",NYI,2023-10-17,ARI,0,NYI,1,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-20 - NJ 5, NYI 4",NYI,2023-10-20,NJ,5,NYI,4,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - NYI 1, BUF 3",NYI,2023-10-21,NYI,1,BUF,3,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - COL 7, NYI 4",NYI,2023-10-24,COL,7,NYI,4,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-26 - OTT 2, NYI 3",NYI,2023-10-26,OTT,2,NYI,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-28 - NYI 2, CBJ 0",NYI,2023-10-28,NYI,2,CBJ,0,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-30 - DET 4, NYI 3",NYI,2023-10-30,DET,4,NYI,3,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - NYI 3, WSH 0",NYI,2023-11-02,NYI,3,WSH,0,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - CAR 4, NYI 3",NYI,2023-11-04,CAR,4,NYI,3,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-07 - MIN 4, NYI 2",NYI,2023-11-07,MIN,4,NYI,2,Lost,2.0,56.620000000000005,46.301,39.736000000000004,35.675,1.5239999999999998,1.8679999999999999,10.495999999999999,10.385,0.616,0.901,7.016,7.361,30.478,27.762,0.47000000000000003,0.288,11.905,11.089,17.499000000000002,11.925999999999998,0.41,0.6689999999999999,6.677,5.293,1.0266,26.860000000000003,28.15,22.244999999999997,24.946,2.474,2.266
"2023-11-09 - NYI 2, BOS 5",NYI,2023-11-09,NYI,2,BOS,5,Won,1.0,56.403999999999996,45.45399999999999,39.614999999999995,34.855,1.6350000000000002,1.672,10.769,10.443999999999999,0.5189999999999999,0.708,7.1819999999999995,7.148000000000001,31.642000000000003,26.363999999999997,0.6689999999999999,0.377,11.94,10.855,16.458999999999996,11.616,0.41,0.574,6.1850000000000005,4.680999999999999,1.0166,26.768,27.351999999999997,22.022,23.89,2.462,2.255
"2023-11-11 - WSH 4, NYI 1",NYI,2023-11-11,WSH,4,NYI,1,Lost,1.0,57.54699999999999,45.39,40.381,34.096999999999994,1.828,1.672,11.115,10.618,0.618,0.708,7.172,7.090000000000001,32.522,25.323,0.6689999999999999,0.377,12.34,10.455,16.278,11.517999999999999,0.505,0.574,6.878,4.586,1.009,28.023000000000003,27.484999999999996,22.105,23.444,2.446,2.2459999999999996
"2023-11-13 - NYI 1, EDM 4",NYI,2023-11-13,NYI,1,EDM,4,Won,1.0,55.629999999999995,49.897000000000006,39.719,36.719,2.147,1.4849999999999999,11.021999999999998,10.718,0.8320000000000001,0.708,6.864,6.825,31.406,28.1,0.774,0.37699999999999995,11.934999999999999,11.209,15.409,13.23,0.505,0.383,6.992,5.154999999999999,0.9865000000000002,27.556,26.502999999999997,23.928,24.318,2.43,2.3449999999999998
"2023-11-15 - NYI 3, VAN 4",NYI,2023-11-15,NYI,3,VAN,4,Won,1.0,54.395999999999994,51.551,38.678000000000004,38.254000000000005,1.9469999999999998,1.491,9.747,10.466999999999999,0.736,0.708,5.974,6.961,32.777,29.573,0.679,0.28300000000000003,12.428,11.292,15.068999999999999,14.231,0.5069999999999999,0.488,6.567,6.077,0.9899000000000001,26.877999999999997,24.897,24.685,25.427999999999997,2.27,2.375
"2023-11-16 - NYI 3, SEA 4",NYI,2023-11-16,NYI,3,SEA,4,Won,0.0,54.501,53.206,39.05800000000001,39.07,1.5290000000000001,1.32,10.018,10.615,0.6300000000000001,0.616,6.149,7.034000000000001,33.356,30.432,0.679,0.28300000000000003,12.541,12.09,14.685000000000002,14.481,0.191,0.40099999999999997,6.65,6.234999999999999,0.9951000000000001,27.149,24.845999999999997,25.062,26.298000000000002,2.41,2.475
"2023-11-18 - NYI 5, CGY 4",NYI,2023-11-18,NYI,5,CGY,4,Lost,1.0,54.431000000000004,51.847,39.324,38.089,1.4280000000000002,1.228,9.973,10.267999999999999,0.6300000000000001,0.618,5.9510000000000005,6.566,34.15,30.065999999999995,0.5850000000000001,0.28300000000000003,12.888,11.793000000000001,14.055000000000001,13.462,0.191,0.306,6.317,5.343999999999999,0.9997,26.862000000000002,24.133,23.722,24.625,2.375,2.346
"2023-11-22 - PHI 2, NYI 3",NYI,2023-11-22,PHI,2,NYI,3,Won,3.0,55.48499999999999,50.769,39.964999999999996,36.713,1.802,1.222,10.598,10.587,0.909,0.51,6.397,6.776000000000001,35.562,29.695,0.674,0.28300000000000003,13.242,11.78,13.644,12.993,0.191,0.41200000000000003,6.136000000000001,4.921,0.9870000000000001,27.374000000000002,24.335,23.578,24.494,2.403,2.3269999999999995
