Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2022-10-13 - NYR 7, MIN 3",MIN,2022-10-13,NYR,7,MIN,3,Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-15 - LA 7, MIN 6",MIN,2022-10-15,LA,7,MIN,6,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-17 - COL 6, MIN 3",MIN,2022-10-17,COL,6,MIN,3,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-20 - VAN 3, MIN 4",MIN,2022-10-20,VAN,3,MIN,4,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-22 - MIN 3, BOS 4",MIN,2022-10-22,MIN,3,BOS,4,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-25 - MIN 3, MTL 1",MIN,2022-10-25,MIN,3,MTL,1,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-27 - MIN 4, OTT 2",MIN,2022-10-27,MIN,4,OTT,2,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-29 - MIN 1, DET 2",MIN,2022-10-29,MIN,1,DET,2,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-30 - MIN 4, CHI 3",MIN,2022-10-30,MIN,4,CHI,3,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-01 - MTL 1, MIN 4",MIN,2022-11-01,MTL,1,MIN,4,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-03 - SEA 4, MIN 0",MIN,2022-11-03,SEA,4,MIN,0,Lost,1.0,44.138,43.637,32.699,32.349000000000004,2.5439999999999996,1.781,7.99,8.815000000000001,1.448,1.379,6.102,6.617,21.317,19.496000000000002,0.406,0.088,11.463,9.875,12.800999999999998,12.035,0.6990000000000001,0.305,6.431,5.011,0.9753000000000001,24.832,20.792,20.853,23.505000000000003,1.8649999999999998,1.9289999999999998
"2022-11-08 - MIN 0, LA 1",MIN,2022-11-08,MIN,0,LA,1,Won,4.0,44.252,43.690000000000005,33.263999999999996,32.207,2.332,1.598,7.511,8.723,1.3370000000000002,1.197,5.514000000000001,6.529000000000001,21.645,19.724,0.406,0.088,11.509,10.129999999999999,12.646,11.874,0.602,0.305,6.536,5.013,0.9712999999999999,24.656,20.172,20.59,23.591,1.8259999999999998,1.9460000000000002
"2022-11-09 - MIN 4, ANA 1",MIN,2022-11-09,MIN,4,ANA,1,Lost,0.0,46.06400000000001,43.10600000000001,34.078,31.897000000000002,1.8920000000000001,1.3190000000000002,7.695,8.559000000000001,1.2289999999999999,1.012,5.518000000000001,6.499,21.820999999999998,19.208000000000002,0.184,0.0,11.281,9.667,13.823000000000002,11.508,0.48699999999999993,0.305,6.995,4.662,0.977,24.582,21.523,20.038000000000004,22.858999999999998,1.9139999999999997,1.8610000000000002
